,source,target,year,weight
30528,centaline wealth management limited,ipp financial advisers limited,2010,1
30529,icbc international research limited,goldman sachs (asia) l.l.c.,nan,1
30530,goldman sachs futures (asia) limited,morgan stanley hong kong securities limited,2005,1
30531,goldman sachs futures (asia) limited,zheng he capital management limited,2017,1
30532,cmsc partners limited,azentus capital management limited,2011,1
30533,saxo capital markets hk limited,clsa premium international (hk) limited,2014,1
30534,clsa limited,morningstar investment management asia limited,2021,1
30535,morningstar investment management asia limited,dongxing securities (hong kong) asset management company limited,2020,1
30536,mci advisory limited (hk),prime capital management company limited,2011,1
30537,csi global markets limited,citic securities brokerage (hk) limited,2012,1
30538,citic securities futures (hk) limited,aplus partners asset management limited,2021,1
30539,aplus partners asset management limited,citic securities brokerage (hk) limited,2008,1
30540,citic securities brokerage (hk) limited,one china securities limited,2017,1
30541,macquarie capital limited,boci asia limited,2012,1
30542,nomura international (hong kong) limited,goldman sachs (asia) l.l.c.,2012,1
30543,oriental patron securities limited,csc securities (hk) limited,2010,1
30544,csc securities (hk) limited,ccb international securities limited,2013,1
30545,ceb international capital corporation limited,clsa limited,2021,1
30546,sumitomo mitsui ds asset management (hong kong) limited,china tonghai securities limited,2014,1
30547,china tonghai securities limited,sumitomo mitsui asset management (hong kong) limited,2016,1
30548,macquarie capital limited,china renaissance securities (hong kong) limited,2016,1
30549,power corporate finance company limited,bnp paribas capital (asia pacific) limited,nan,1
30550,yuanta asia investment (hong kong) limited,bnp paribas securities (asia) limited,2021,1
30551,bnp paribas securities (asia) limited,polaris capital (asia) limited,2007,1
30552,boci asia limited,cmb international capital limited,2020,1
30553,bright smart futures & commodities company limited,fosun hani securities limited,2018,1
30554,citic securities brokerage (hk) limited,celestial commodities limited,2009,1
30555,china tonghai securities limited,hsbc securities brokers (asia) limited,2022,1
30556,gf capital (hong kong) limited,morgan stanley asia limited,2010,1
30557,morgan stanley asia limited,hsbc corporate finance (hong kong) limited,2013,1
30558,hsbc corporate finance (hong kong) limited,jefferies hong kong limited,2014,1
30559,zhongtai international capital limited,"central china international securities co., limited",2016,1
30560,chanceton capital partners limited,bison corporate finance limited,2020,1
30561,bison corporate finance limited,brilliant corporate finance limited,2018,1
30562,brilliant corporate finance limited,chanceton capital partners limited,2016,1
30563,yuanta asia investment (hong kong) limited,everbright securities investment services (hk) limited,2004,1
30564,huatai financial holdings (hong kong) limited,boci securities limited,2011,1
30565,morgan stanley asia limited,nomura asset management hong kong limited,2011,1
30566,china everbright capital limited,huatai financial holdings (hong kong) limited,2020,1
30567,sinolink securities (hong kong) company limited,first shanghai capital limited,2007,1
30568,first shanghai capital limited,innovax capital limited,2018,1
30569,innovax capital limited,china everbright capital limited,2012,1
30570,boci commodities & futures limited,bocom international securities limited,2010,1
30571,essence international securities (hong kong) limited,orient securities (hong kong) limited,2021,1
30572,orient securities (hong kong) limited,china securities (international) brokerage company limited,2015,1
30573,trivest advisors limited,lehman brothers asia limited,nan,1
30574,lehman brothers asia limited,indus capital advisors (hong kong) limited,2007,1
30575,great wall pan asia asset management limited,huarong international asset management limited,2021,1
30576,gf international investment management limited,nard capital limited,2022,1
30577,ccb international securities limited,bny mellon investment management hong kong limited,2012,1
30578,bny mellon investment management hong kong limited,rhb securities hong kong limited,2016,1
30579,rhb securities hong kong limited,cmb international securities limited,2018,1
30580,cmb international securities limited,autonomous research asia limited,2014,1
30581,deepwater capital limited,daiwa institute of research (hong kong) limited,2010,1
30582,"cms asset management (hk) co., limited",gf securities (hong kong) brokerage limited,2019,1
30583,vc asset management limited,kingsway financial services group limited,2004,1
30584,kingsway financial services group limited,proton capital limited,2010,1
30585,southwest securities (hk) capital limited,cmb international capital limited,2021,1
30586,rosa securities limited,selina & co. limited (hk),2006,1
30587,jf international management inc.,mizuho securities asia limited,2016,1
30588,phillip securities (hong kong) limited,north sea securities limited,nan,1
30589,mib securities (hong kong) limited,clsa asset management limited,2010,1
30590,bosen asset management limited,mib securities (hong kong) limited,2017,1
30591,boci asia limited,macquarie capital limited,2006,1
30592,china international capital corporation hong kong securities limited,morgan stanley asia limited,2018,1
30593,vanguard investments hong kong limited,clsa limited,2021,1
30594,haitong international securities company limited,cmb international securities limited,2021,1
30595,goldman sachs (asia) l.l.c.,harvest global capital investments limited,2020,1
30596,harvest global capital investments limited,china renaissance securities (hong kong) limited,2015,1
30597,china asset management (hong kong) limited,morgan stanley asia limited,2011,1
30598,guotai junan securities (hong kong) limited,cachet asset management limited,2018,1
30599,jefferies hong kong limited,clsa capital markets limited,2019,1
30600,huatai financial holdings (hong kong) limited,citigroup global markets asia limited,2021,1
30601,ccb international securities limited,sunfund capital limited,2016,1
30602,merrill lynch (asia pacific) limited,china international capital corporation hong kong securities limited,2018,1
30603,guotai junan securities (hong kong) limited,new china asset management (hong kong) limited,2017,1
30604,china renaissance securities (hong kong) limited,morgan stanley asia limited,2015,1
30605,morgan stanley asia limited,bnp paribas capital (asia pacific) limited,2007,1
30606,morgan stanley asia limited,nomura international (hong kong) limited,2014,1
30607,ces commodities (hk) limited,tribridge investment partners limited,2008,1
30608,point72 hong kong limited,optimas capital limited,2016,1
30609,mvision private equity advisers asia limited,enhanced investment products limited,2020,1
30610,ccb international securities limited,mib securities (hong kong) limited,2015,1
30611,point72 hong kong limited,morgan stanley asia limited,2016,1
30612,ces commodities (hk) limited,china everbright securities (hk) limited,2010,1
30613,china everbright securities (hk) limited,everbright securities investment services (hk) limited,2018,1
30614,china asset management (hong kong) limited,zeal asset management limited,2019,1
